time,open,high,low,close,tick_volume,spread,real_volume,rsi,sma_20,std_20,upper_bb,lower_bb,atr_current,ema30,ema90,vol_sma,day,vwap,vwap_std,cvd,ofi,volume_ratio,regime,dir_prob
2026-02-25 13:54:00,194125.0,194210.0,194100.0,194110.0,8236,5,24532,58.90991877887744,194078.0,39.58335641814859,194157.1667128363,193998.8332871637,67.5,194077.14500383308,194227.73312989008,4757.25,2026-02-25,194662.82506688766,36.47668084820183,-32771.0,-0.1363636363512397,1.731252299118753,0,0.02834467011769003
2026-02-25 13:55:00,194110.0,194145.0,194065.0,194125.0,4875,5,15585,64.87665040866132,194081.75,40.33657736778103,194162.42315473556,194001.07684526444,67.5,194080.23242294064,194225.47525890346,4844.5,2026-02-25,194661.90957222015,36.710898362281355,-27896.0,0.18749999997656253,1.006295799358022,0,0.0025765888173211416
2026-02-25 13:56:00,194130.0,194140.0,194085.0,194105.0,2705,5,8097,52.23485756435586,194080.0,38.38859479831481,194156.77718959664,194003.22281040336,66.42857142857143,194081.83033113802,194222.82745101547,4576.8,2026-02-25,194661.4013661182,36.710898362281355,-30601.0,-0.4545454544628099,0.5910242964503779,0,0.010301777589024121
2026-02-25 13:57:00,194105.0,194110.0,194010.0,194055.0,7582,5,23461,32.4655053369826,194077.75,38.473333212552674,194154.6966664251,194000.8033335749,66.07142857142857,194080.09934203236,194219.13893560853,4773.45,2026-02-25,194659.84885293583,36.23136746510633,-38183.0,-0.49999999995000005,1.5883689993577217,0,0.03863669161390623
2026-02-25 13:58:00,194055.0,194095.0,194050.0,194085.0,3823,5,12727,47.3970138592569,194076.5,37.77008005593275,194152.04016011188,194000.95983988812,66.07142857142857,194080.41551351416,194216.1908271336,4709.1,2026-02-25,194659.09283797833,36.021030245829294,-34360.0,0.6666666665185185,0.8118324095882189,0,0.012874782248531997
2026-02-25 13:59:00,194085.0,194110.0,194045.0,194095.0,2844,5,8852,51.83418054472556,194076.75,37.880525479320475,194152.51105095865,194000.98894904135,66.78571428571429,194081.35644812614,194213.52729247132,4568.25,2026-02-25,194658.53811785334,35.39914427345935,-31516.0,0.15384615382248523,0.6225578722692003,0,0.015449977707075032
2026-02-25 14:00:00,194095.0,194125.0,194065.0,194090.0,4341,5,13658,49.238335719702114,194078.5,37.63047477300775,194153.760949546,194003.239050454,66.42857142857143,194081.91409663414,194210.8124069225,4391.15,2026-02-25,194657.70815123068,35.160450936090136,-35857.0,-0.08333333331944444,0.9885793015474568,0,0.007723395771432926
2026-02-25 14:01:00,194090.0,194185.0,194090.0,194145.0,7891,5,25411,69.93855768196333,194085.5,36.23388934277754,194157.96777868556,194013.03222131444,69.28571428571429,194085.98415491584,194209.3659803967,4547.75,2026-02-25,194656.3299128448,34.75593684946221,-27966.0,0.5789473683601108,1.73514375240122,0,0.04637322750225361
2026-02-25 14:02:00,194145.0,194170.0,194070.0,194080.0,4817,5,14821,43.64556767104727,194088.75,32.2765598515677,194153.30311970314,194024.19688029686,73.21428571428571,194085.59808040515,194206.52277203632,4559.9,2026-02-25,194655.43809648594,30.524173146565428,-32783.0,-0.649999999935,1.056382815410302,0,0.0025664379958025875
2026-02-25 14:03:00,194080.0,194115.0,194080.0,194110.0,2445,5,7601,53.68982133689243,194088.75,32.2765598515677,194153.30311970314,194024.19688029686,71.07142857142857,194087.17239779836,194204.40139243111,4422.1,2026-02-25,194654.9824227573,30.534229667189862,-30338.0,0.8571428568979592,0.5529047285213973,0,0.007738723596883122
